planning_area,year,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
SEMBAWANG,2020,2941.0,0.0,0.0,0.0,0.0,0.0,2239.0,0.0,36.0,104.0,144.0,5642.0,0.0,2933.0,5734.0,282.0,80.0,871.0
SIMPANG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMPINES,2020,11416.0,0.0,0.0,0.0,0.0,0.0,4644.0,0.0,74.0,288.0,500.0,9591.0,0.0,2897.0,9549.0,822.0,190.0,3205.0
TANGLIN,2020,451.0,0.0,0.0,0.0,0.0,0.0,1487.0,0.0,0.0,3.0,43.0,685.0,0.0,179.0,397.0,26.0,85.0,728.0
TUAS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT PANJANG,2020,6340.0,0.0,0.0,0.0,0.0,0.0,3159.0,0.0,46.0,129.0,143.0,6659.0,0.0,1863.0,5458.0,2080.0,102.0,1342.0
BISHAN,2020,2837.0,0.0,0.0,0.0,0.0,0.0,3073.0,0.0,37.0,19.0,54.0,2771.0,0.0,1345.0,4010.0,174.0,118.0,931.0
ANG MO KIO,2020,6740.0,0.0,0.0,0.0,0.0,0.0,3095.0,0.0,27.0,111.0,221.0,5535.0,0.0,1426.0,5523.0,260.0,95.0,1527.0
GEYLANG,2020,3640.0,0.0,0.0,0.0,0.0,0.0,1916.0,0.0,10.0,87.0,139.0,3164.0,0.0,1897.0,3926.0,186.0,84.0,1059.0
STRAITS VIEW,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG EAST,2020,4174.0,0.0,0.0,0.0,0.0,0.0,1168.0,0.0,23.0,68.0,58.0,2083.0,0.0,519.0,3384.0,105.0,53.0,724.0
HOUGANG,2020,9819.0,0.0,0.0,0.0,0.0,0.0,4888.0,0.0,51.0,153.0,336.0,7841.0,0.0,1777.0,9269.0,538.0,292.0,1612.0
JURONG WEST,2020,13306.0,0.0,0.0,0.0,0.0,0.0,5166.0,0.0,74.0,351.0,493.0,13449.0,0.0,2565.0,12893.0,875.0,161.0,2211.0
CHOA CHU KANG,2020,6500.0,0.0,0.0,0.0,0.0,0.0,3119.0,0.0,77.0,335.0,170.0,9361.0,0.0,3090.0,11826.0,1817.0,201.0,1982.0
KALLANG,2020,2482.0,0.0,0.0,0.0,0.0,0.0,1678.0,0.0,0.0,0.0,99.0,2599.0,0.0,1712.0,3785.0,107.0,113.0,1515.0
MANDAI,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TENGAH,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA EAST,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA SOUTH,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSEUM,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVENA,2020,1679.0,0.0,0.0,0.0,0.0,0.0,2354.0,0.0,5.0,0.0,44.0,1419.0,0.0,263.0,1486.0,62.0,107.0,1047.0
OUTRAM,2020,389.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,5.0,5.0,10.0,567.0,0.0,311.0,472.0,16.0,14.0,245.0
PAYA LEBAR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVER VALLEY,2020,180.0,0.0,0.0,0.0,0.0,0.0,564.0,0.0,0.0,0.0,32.0,281.0,0.0,63.0,334.0,11.0,41.0,447.0
ROCHOR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELETAR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,2020,11197.0,0.0,0.0,0.0,0.0,0.0,5855.0,0.0,83.0,192.0,487.0,16950.0,0.0,3760.0,8472.0,3683.0,273.0,2506.0
SERANGOON,2020,3423.0,0.0,0.0,0.0,0.0,0.0,4014.0,0.0,0.0,53.0,94.0,2690.0,0.0,1515.0,5248.0,284.0,184.0,1350.0
CLEMENTI,2020,4368.0,0.0,0.0,0.0,0.0,0.0,2990.0,0.0,16.0,52.0,72.0,3054.0,0.0,568.0,2909.0,228.0,128.0,1363.0
TOA PAYOH,2020,4215.0,0.0,0.0,0.0,0.0,0.0,2466.0,0.0,20.0,100.0,153.0,4203.0,0.0,1724.0,4661.0,147.0,191.0,1080.0
SINGAPORE RIVER,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNGEI KADUT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YISHUN,2020,7903.0,0.0,0.0,0.0,0.0,0.0,4109.0,0.0,47.0,244.0,756.0,10444.0,0.0,2837.0,9630.0,466.0,200.0,1519.0
